Trade Balance(1000$),China,US,Japan,Vietnam,India,Russia,SaudiArabia,UAE,Qatar,Total
2014.01,4012108,1238379,-1214640,1164482,483889,-414194,-2502506,-471050,-2464948,813619
2014.02,4967893,735705,-1838236,1222708,500591,-311022,-2735064,-524972,-2501462,850181
2014.03,4581327,1859735,-1961656,1436250,573344,-632304,-2313779,-419504,-3027016,3505717
2014.04,4499396,2242027,-2170808,1187570,674587,-349224,-2029088,-1017785,-1983287,4394115
2014.05,3781747,2349974,-1622831,1214217,776257,233026,-2389008,-1044667,-1636756,4969700
2014.06,3727185,2436546,-1806066,1084021,603120,-69988,-2418097,-935679,-1661913,5351328
2014.07,4536973,2228303,-1640316,1148469,663890,-499690,-2823925,-767406,-2241588,2340630
2014.08,5211510,1984735,-1697615,966056,510833,-607591,-2915519,-1249301,-2026121,3316501
2014.09,5070125,1691063,-1992001,973583,627534,-966524,-2841755,-689143,-1699598,3261506
2014.1,5469098,3069256,-1730407,1248177,615035,-731316,-1864845,-767236,-1688698,7533235
2014.11,4786017,2805335,-1845338,1264658,620137,-625759,-2145507,-353949,-1767665,5262088
2014.12,4562098,2360561,-2064612,1451176,858604,-565403,-1427931,-741936,-2119517,5551481
2015.01,3940676,1936484,-1575940,1459749,560282,-655634,-971549,-354775,-1756665,5822365
2015.02,2946768,2023048,-1836890,1332475,638776,-680810,-965904,-253030,-1182420,7473875
2015.03,4641121,2739490,-2256623,1741918,739983,-515543,-651414,-142539,-1654007,8336836
2015.04,4117234,2362628,-1895679,1736630,691931,-485155,-1085970,-18069,-1522592,8363133
2015.05,3933904,2094658,-1172063,1627816,606182,-428115,-1734659,-148942,-1614171,6287511
2015.06,3949938,2679567,-1780773,1727089,535947,-373538,-699011,-80294,-1280965,9956114
2015.07,3553934,2086541,-1819547,1858191,680061,-552477,-1140995,-485479,-1349489,7048680
2015.08,3724575,1233173,-1588223,1269259,474139,-657200,-740748,-293284,-1021784,4335236
2015.09,4460544,2185829,-1670772,1321807,750844,-431728,-376740,-249559,-1162485,8891809
2015.1,4104963,2013691,-1714171,1192889,751126,-459783,-532189,-307151,-1139714,6589071
2015.11,3754724,2161871,-1317604,1254731,636945,-749536,-518861,-64884,-987348,10235370
2015.12,3745276,2290693,-1649043,1443364,722806,-633037,-661572,-139892,-1129062,6917532
2016.01,2584955,1712643,-1296239,1149634,560235,-484766,-514081,-77252,-839837,4938519
2016.02,2612872,2164528,-1711227,1419464,636120,-73634,-361084,-58724,-783068,6761217
2016.03,3121448,2750772,-2153583,1729437,830383,-189040,-370516,-22297,-649345,9658045
2016.04,2512757,2518356,-2049376,1799226,641301,-282674,-746218,214620,-649500,8692770
2016.05,2870238,1781464,-1594310,1732694,574563,-326452,-879860,-74443,-716352,6708349
2016.06,2966760,2219057,-1738138,1705239,638125,-179165,-757455,-68604,-760488,11318841
2016.07,3127610,1837683,-1910048,1837976,500700,-263214,-1171104,-282279,-817972,7509898
2016.08,2928143,1176429,-2153091,1487661,490456,-373795,-974151,-403060,-642137,5021180
2016.09,3720021,1716645,-2065774,1536856,578155,-342349,-1055992,-211263,-799867,6857809
2016.1,3379276,1844932,-2117504,1660611,607351,-401517,-1058655,116650,-902014,6933218
2016.11,3527247,1970318,-2016141,1907569,640655,-481352,-1108082,-121806,-974029,8068283
2016.12,4101455,1553555,-2306126,2168937,708957,-473905,-1100607,-82634,-1010998,6764923
